Course Number,Subject Id,Subject Id Sort,Subject Title,Master Subject Id,Offer Dept Name,Term Code
20,20.405, 20.405,Princples of Synthetic Biology,20.305,Biological Engineering,2013FA
4,4.605,  4.605,Intro to Hist & Theory of Arch,4.605,Architecture,2013SP
4,4.611,  4.611,Civic  Arch in Islamic History,4.613,Architecture,2013SP
4,4.613,  4.613,Civic Arch in Islamic History,4.613,Architecture,2013SP
4,4.625,  4.625,Water Reading Group,4.625,Architecture,2013SP
4,4.640,  4.640,Adv Study: Crit Theory Arch,4.640,Architecture,2013SP
4,4.645,  4.645,Topics in Arch: 1750-Present,4.645,Architecture,2013SP
4,4.646,  4.646,Rsrch Programs in Modern Arch,4.646,Architecture,2013SP
4,4.388,  4.388,Preparation for SMACT Thesis,4.388,Architecture,2013SP
4,4.389,  4.389,Tutorial for SMACT Thesis,4.389,Architecture,2013SP
4,4.390,  4.390,"Art, Culture, & Tech Studio",4.390,Architecture,2013SP
4,4.392,  4.392,Independent Study: ACT,4.392,Architecture,2013SP
4,4.393,  4.393,Independent Study: ACT,4.393,Architecture,2013SP
4,4.423,  4.423,Arch Thermal & Fluid Dynamics,4.423,Architecture,2013SP
4,4.675,  4.675,"Collect, Classify, Consume",4.675,Architecture,2013SP
4,4.677,  4.677,Adv Study in History of Art,4.677,Architecture,2013SP
4,4.689,  4.689,Prep: (HTC) PhD Thesis,4.689,Architecture,2013SP
4,4.691,  4.691,Ind Study: HTC Arch/Art,4.691,Architecture,2013SP
4,4.693,  4.693,Ind Study: HTC Arch/Art,4.693,Architecture,2013SP
4,4.694,  4.694,Ind Study: HTC Arch/Art,4.694,Architecture,2013SP
4,4.S27,  4.S27,Spec Sub Urban Design,4.S27,Architecture,2013SP
4,4.S52,  4.S52,Spec Sub Arch Computation,4.S52,Architecture,2013SP
4,4.S54,  4.S54,Spec Sub Arch Computation,4.S54,Architecture,2013SP
4,4.S68,  4.S68,Spec Sub Study in Modern Arch,4.S68,Architecture,2013SP
4,4.URG,  4.URG,Undergraduate Research,4.URG,Architecture,2013SP
4,4.URN,  4.URN,Undergraduate Research,4.URN,Architecture,2013SP
5,5.05,  5.05,Princ: Inorganic Chemistry III,5.05,Chemistry,2013SP
5,5.068,  5.068,Physical Inorganic Chemistry,5.068,Chemistry,2013SP
5,5.069,  5.069,Crystal Structure Analysis,5.069,Chemistry,2013SP
17,17.541, 17.541,Japanese Politics,17.543,Political Science,2013FA
4,4.488,  4.488,Prep: S.M.B.T. Thesis,4.488,Architecture,2013SP
4,4.489,  4.489,Prep: (BT) Ph.D. Thesis,4.489,Architecture,2013SP
4,4.492,  4.492,Ind Study: Building Tech,4.492,Architecture,2013SP
4,4.493,  4.493,Ind Study: Building Tech,4.493,Architecture,2013SP
4,4.504,  4.504,Design Scripting,4.504,Architecture,2013SP
4,4.510,  4.510,Digital Design & Fabrication,4.501,Architecture,2013SP
4,4.541,  4.541,Intro to Shape Grammars II,4.541,Architecture,2013SP
4,4.542,  4.542,Background to Shape Grammars,4.542,Architecture,2013SP
5,5.111,  5.111,Principles of Chemical Science,5.111,Chemistry,2013SP
3,3.EPR,  3.EPR,UPOP Reflective Learning Exp,2.EPR,Materials Science and Eng,2013FA
4,4.433,  4.433,Modeling Urban Energy Flows,4.433,Architecture,2013SP
4,4.440,  4.440,Building Structural Systems I,4.440,Architecture,2013SP
20,20.309, 20.309,Instr & Msrmt for Biol Systems,20.309,Biological Engineering,2013FA
4,4.462,  4.462,Building Structural Systems I,4.440,Architecture,2013SP
4,4.557,  4.557,Mobility-on-Demand,MAS.552,Architecture,2013SP
4,4.564,  4.564,Design Scripting,4.504,Architecture,2013SP
4,4.566,  4.566,Adv Proj in Digital Media,4.566,Architecture,2013SP
4,4.583,  4.583,Forum in Computation,4.583,Architecture,2013SP
4,4.163,  4.163,Urban Design Studio,4.163,Architecture,2013FA
4,4.589,  4.589,Prep: (AS) PhD Comp Thesis,4.589,Architecture,2013SP
4,4.591,  4.591,Ind Study: Arch Computation,4.591,Architecture,2013SP
4,4.593,  4.593,Ind Study: Arch Computation,4.593,Architecture,2013SP
4,4.594,  4.594,Ind Study: Arch Computation,4.594,Architecture,2013SP
5,5.310,  5.310,Laboratory Chemistry,5.310,Chemistry,2013SP
2,2.152,  2.152,Nonlinear Control System Desgn,2.152,Mechanical Engineering,2014FA
2,2.171,  2.171,Digital Control Systems,2.171,Mechanical Engineering,2014FA
2,2.20,  2.20,Marine Hydrodynamics,2.20,Mechanical Engineering,2014FA
2,2.25,  2.25,Fluid Mechanics,2.25,Mechanical Engineering,2014FA
2,2.28,  2.28,Fund & Applic of Combustion,2.28,Mechanical Engineering,2014FA
2,2.42,  2.42,General Thermodynamics,2.42,Mechanical Engineering,2014FA
